CustomerID,Recency,Frequency,MonetaryValue,Cluster,Persona
12424,163,2,1760.96,2,loyal clients
12425,78,1,777.2,3,Client at Risk
12426,195,1,582.73,3,Client at Risk
12427,22,3,825.8,0,Occasionnal client
12428,26,9,7956.46,1,Champions
12429,9,4,3750.4,1,Champions
12430,43,1,256.4,0,Occasionnal client
12431,36,15,6419.95,1,Champions
12432,43,5,5059.32,2,loyal clients
12433,1,7,13375.87,1,Champions
12434,85,2,806.14,2,loyal clients
12435,80,2,7829.89,2,loyal clients
12436,100,1,509.01,3,Client at Risk
12437,2,18,4951.41,1,Champions
12438,14,2,2906.85,2,loyal clients
12441,367,1,173.55,3,Client at Risk
12442,3,1,172.06,0,Occasionnal client
12444,21,5,5005.46,2,loyal clients
12445,22,1,133.4,0,Occasionnal client
12446,58,1,1002.3100000000001,3,Client at Risk
12447,243,1,476.49,3,Client at Risk
12448,44,1,449.45,0,Occasionnal client
12449,22,4,4067.29,2,loyal clients
12450,156,2,197.88,3,Client at Risk
12451,11,5,9035.52,1,Champions
12452,17,2,430.57,0,Occasionnal client
12453,134,1,707.09,3,Client at Risk
12454,56,1,3528.34,2,loyal clients
12455,73,6,2466.86,2,loyal clients
12456,44,3,3181.04,2,loyal clients
12457,66,7,2363.23,2,loyal clients
12458,71,2,947.4,2,loyal clients
12461,94,2,826.88,2,loyal clients
12462,19,2,1189.59,0,Occasionnal client
12463,53,4,1344.78,2,loyal clients
12464,10,8,1212.05,1,Champions
12465,17,2,742.1899999999999,0,Occasionnal client
12468,188,2,729.5400000000001,3,Client at Risk
12471,2,30,19788.65,1,Champions
12472,32,7,6572.11,1,Champions
12473,29,5,3928.0499999999997,2,loyal clients
12474,17,18,7324.09,1,Champions
12475,54,1,723.38,3,Client at Risk
12476,16,11,6816.42,1,Champions
12477,23,6,13219.74,1,Champions
12478,4,1,680.99,0,Occasionnal client
12479,11,1,527.2,0,Occasionnal client
12480,28,4,3281.63,2,loyal clients
12481,23,10,5579.82,1,Champions
12483,17,8,2484.98,1,Champions
12484,33,6,4527.32,2,loyal clients
12488,10,3,1298.66,0,Occasionnal client
12489,336,1,334.93,3,Client at Risk
12490,5,10,5417.93,1,Champions
12491,39,1,460.40000000000003,0,Occasionnal client
12492,63,2,263.21000000000004,3,Client at Risk
12493,166,2,433.74,3,Client at Risk
12494,16,7,1246.1000000000001,2,loyal clients
12497,82,1,1043.1,3,Client at Risk
12498,21,3,403.70000000000005,0,Occasionnal client
12500,23,11,4257.82,1,Champions
12501,337,1,2169.39,3,Client at Risk
12502,96,5,3723.87,2,loyal clients
12504,18,2,482.04999999999995,0,Occasionnal client
12506,233,1,73.5,3,Client at Risk
12507,134,3,1304.81,2,loyal clients
12508,26,2,397.88,0,Occasionnal client
12509,284,1,176.5,3,Client at Risk
12510,143,2,982.5699999999999,2,loyal clients
12512,66,2,132.18,3,Client at Risk
12513,113,1,612.29,3,Client at Risk
12514,267,1,1017.68,3,Client at Risk
12515,353,1,383.7,3,Client at Risk
12516,78,2,1312.06,2,loyal clients
12517,28,5,2481.6,2,loyal clients
12518,1,5,2056.89,1,Champions
12519,64,1,330.84,3,Client at Risk
12520,79,5,2634.26,2,loyal clients
12521,143,1,599.68,3,Client at Risk
12522,39,2,192.72,0,Occasionnal client
12523,19,11,1789.77,1,Champions
12524,9,8,4485.72,1,Champions
12526,1,3,1316.66,0,Occasionnal client
12527,82,3,348.71000000000004,3,Client at Risk
12528,9,6,1933.48,1,Champions
12530,60,4,1662.28,2,loyal clients
12531,15,1,125.22,0,Occasionnal client
12532,30,1,349.83000000000004,0,Occasionnal client
12534,131,1,1089.18,3,Client at Risk
12535,92,2,716.35,3,Client at Risk
12536,43,3,12601.830000000002,2,loyal clients
12538,29,1,363.95,0,Occasionnal client
12539,22,4,5568.35,2,loyal clients
12540,20,17,13400.24,1,Champions
12541,30,3,981.18,2,loyal clients
12544,36,1,372.7,0,Occasionnal client
12545,75,2,1000.39,2,loyal clients
12546,47,2,1161.5,2,loyal clients
12547,198,2,207.79999999999998,3,Client at Risk
12548,166,1,95.19999999999999,3,Client at Risk
12550,79,1,964.83,3,Client at Risk
12551,358,1,168.0,3,Client at Risk
12552,39,2,437.82,0,Occasionnal client
12553,8,10,3692.28,1,Champions
12556,50,2,599.56,0,Occasionnal client
12557,16,5,11990.960000000001,1,Champions
12558,8,1,269.96,0,Occasionnal client
12559,311,2,561.71,3,Client at Risk
12560,5,3,2134.01,0,Occasionnal client
12561,303,1,238.85,3,Client at Risk
12562,8,7,3781.7400000000002,1,Champions
12564,261,1,456.9,3,Client at Risk
12565,289,1,145.92,3,Client at Risk
12566,86,1,351.65,3,Client at Risk
12567,23,10,9401.28,1,Champions
12569,2,32,4124.69,1,Champions
12571,40,2,519.61,0,Occasionnal client
12572,9,2,1020.42,0,Occasionnal client
12573,227,1,160.54000000000002,3,Client at Risk
12574,316,1,218.45,3,Client at Risk
12576,36,5,1315.83,2,loyal clients
12577,35,3,626.6,2,loyal clients
12578,21,2,2794.51,2,loyal clients
12579,78,1,440.42,3,Client at Risk
12580,247,1,415.7,3,Client at Risk
12581,40,1,197.71,0,Occasionnal client
12582,239,2,511.36,3,Client at Risk
12583,3,15,7281.38,1,Champions
12584,4,9,2338.15,1,Champions
12585,234,2,2040.1,2,loyal clients
12586,17,1,196.94000000000003,0,Occasionnal client
12587,8,1,144.0,0,Occasionnal client
12588,39,1,214.89999999999998,0,Occasionnal client
12589,29,2,646.68,0,Occasionnal client
12590,211,2,9864.26,2,loyal clients
12591,317,1,452.84999999999997,3,Client at Risk
12592,92,2,437.6,3,Client at Risk
12593,109,3,418.09999999999997,3,Client at Risk
12594,38,10,3338.2200000000003,1,Champions
12596,51,2,618.27,0,Occasionnal client
12597,19,4,3811.22,2,loyal clients
12598,10,8,3023.08,1,Champions
12599,29,7,1032.58,2,loyal clients
12600,29,10,2599.04,1,Champions
12601,190,5,577.0600000000001,2,loyal clients
12602,59,1,153.12,3,Client at Risk
12603,22,1,739.1999999999999,0,Occasionnal client
12604,79,2,254.18,3,Client at Risk
12607,60,1,1579.51,2,loyal clients
12609,78,3,1126.85,2,loyal clients
12610,23,5,2099.54,2,loyal clients
12611,52,1,1193.32,2,loyal clients
12612,74,1,704.0400000000001,3,Client at Risk
12613,57,5,3344.38,2,loyal clients
12614,278,1,315.6,3,Client at Risk
12615,2,4,2291.19,1,Champions
12616,95,2,713.3,3,Client at Risk
12617,29,1,352.98,0,Occasionnal client
12618,22,1,177.31,0,Occasionnal client
12619,16,9,3641.24,1,Champions
12620,15,3,1339.41,2,loyal clients
12621,2,20,13689.67,1,Champions
12622,232,1,180.1,3,Client at Risk
12623,276,1,305.1,3,Client at Risk
12624,106,2,641.13,3,Client at Risk
12625,212,2,2683.82,2,loyal clients
12626,23,9,6620.48,1,Champions
12627,11,7,4478.53,1,Champions
12628,4,3,786.46,0,Occasionnal client
12630,10,2,1270.88,0,Occasionnal client
12631,57,1,640.5,3,Client at Risk
12633,59,4,2163.98,2,loyal clients
12635,90,2,1689.18,2,loyal clients
12637,67,8,6002.9,2,loyal clients
12638,33,1,671.69,0,Occasionnal client
12639,239,1,486.1,3,Client at Risk
12640,24,3,1174.58,2,loyal clients
12641,115,1,185.9,3,Client at Risk
12642,25,3,1013.26,2,loyal clients
12643,128,6,3344.64,2,loyal clients
12644,130,1,477.91,3,Client at Risk
12645,34,4,1775.18,2,loyal clients
12646,5,2,1346.97,0,Occasionnal client
12647,22,12,3722.82,1,Champions
12648,155,1,318.05,3,Client at Risk
12649,107,3,623.51,2,loyal clients
12650,3,1,314.44,0,Occasionnal client
12651,335,1,114.0,3,Client at Risk
12652,331,1,919.98,3,Client at Risk
12653,149,2,2209.85,2,loyal clients
12654,11,5,601.98,0,Occasionnal client
12656,17,5,4051.17,1,Champions
12657,11,4,1643.18,2,loyal clients
12658,19,1,686.05,0,Occasionnal client
12659,30,1,91.68,0,Occasionnal client
12660,11,1,245.1,0,Occasionnal client
12662,1,11,3849.78,1,Champions
12664,8,9,4881.88,1,Champions
12665,325,1,63.0,3,Client at Risk
12667,58,1,620.13,3,Client at Risk
12668,12,4,3807.15,2,loyal clients
12669,151,3,2744.0299999999997,2,loyal clients
12670,10,5,2996.05,1,Champions
12672,330,1,225.89999999999998,3,Client at Risk
12673,5,2,610.52,0,Occasionnal client
12674,39,4,1970.6,2,loyal clients
12676,25,6,1331.39,2,loyal clients
12678,42,12,17628.46,1,Champions
12679,59,4,1113.02,2,loyal clients
12680,1,4,862.81,0,Occasionnal client
12681,15,22,13787.54,1,Champions
12682,4,31,12279.82,1,Champions
12683,4,15,8476.57,1,Champions
12684,8,7,2283.63,1,Champions
12685,28,6,2863.08,2,loyal clients
12686,372,1,89.14,3,Client at Risk
12688,114,1,4873.8099999999995,2,loyal clients
12689,26,2,1247.61,2,loyal clients
12690,206,1,389.01,3,Client at Risk
12691,28,6,1035.8,2,loyal clients
12693,127,4,855.91,2,loyal clients
12694,70,2,869.67,2,loyal clients
12695,7,4,582.1,0,Occasionnal client
12697,29,3,957.59,2,loyal clients
12700,8,4,4939.99,1,Champions
12701,80,2,797.71,2,loyal clients
12702,20,1,219.0,0,Occasionnal client
12703,71,1,283.55,3,Client at Risk
12704,7,8,2340.84,1,Champions
12705,15,9,6868.29,1,Champions
12707,292,1,603.42,3,Client at Risk
12708,30,10,2712.91,1,Champions
12709,15,15,9706.52,1,Champions
12710,97,3,1149.02,2,loyal clients
12712,29,13,4396.13,1,Champions
12713,1,1,848.55,0,Occasionnal client
12714,9,5,4708.86,1,Champions
12715,106,1,343.36,3,Client at Risk
12716,4,2,1053.49,0,Occasionnal client
12717,151,2,1030.98,2,loyal clients
12718,71,1,238.25,3,Client at Risk
12719,5,2,644.95,0,Occasionnal client
12720,3,25,5781.73,1,Champions
12721,32,6,2656.13,2,loyal clients
12722,85,4,997.63,2,loyal clients
12723,4,5,725.07,0,Occasionnal client
12724,5,4,1031.41,0,Occasionnal client
12725,371,1,427.8,3,Client at Risk
12726,28,7,2609.1,2,loyal clients
12727,11,7,3980.7,1,Champions
12728,71,4,836.33,2,loyal clients
12729,114,1,453.01,3,Client at Risk
12731,24,12,18895.91,1,Champions
12732,180,1,236.26000000000002,3,Client at Risk
12733,234,1,383.95,3,Client at Risk
12734,353,1,110.39999999999999,3,Client at Risk
12735,315,2,779.5699999999999,3,Client at Risk
12736,333,1,234.0,3,Client at Risk
12738,372,1,155.35,3,Client at Risk
12739,78,2,1013.04,2,loyal clients
12740,64,1,427.6,3,Client at Risk
12743,134,2,540.13,3,Client at Risk
12744,52,7,21279.29,1,Champions
12747,2,11,4196.01,1,Champions
12748,1,209,33053.19,1,Champions
12749,4,5,4090.88,1,Champions
12750,129,1,275.88,3,Client at Risk
12752,81,1,4366.78,2,loyal clients
12753,23,6,21429.39,1,Champions
12754,236,3,3010.74,2,loyal clients
12755,281,2,3811.95,2,loyal clients
12756,87,1,112.07999999999998,3,Client at Risk
12757,16,13,7834.650000000001,1,Champions
12758,117,2,2791.59,2,loyal clients
12759,52,3,1531.44,2,loyal clients
12762,8,2,1898.52,0,Occasionnal client
12763,138,2,494.08,3,Client at Risk
12764,317,1,1693.88,3,Client at Risk
12766,4,7,6989.63,1,Champions
12769,239,1,1143.6,3,Client at Risk
12770,211,1,1351.45,3,Client at Risk
12772,60,1,892.47,3,Client at Risk
12775,17,5,1386.04,2,loyal clients
12778,20,6,822.23,2,loyal clients
12779,38,8,3981.36,1,Champions
12781,64,2,826.74,2,loyal clients
12782,5,5,2330.92,1,Champions
12783,2,6,2225.91,1,Champions
12784,9,2,532.8199999999999,0,Occasionnal client
12785,364,1,311.95,3,Client at Risk
12787,10,3,463.66,0,Occasionnal client
12789,65,1,91.85,3,Client at Risk
12790,192,1,324.92,3,Client at Risk
12791,374,1,192.60000000000002,3,Client at Risk
12792,257,1,400.53999999999996,3,Client at Risk
12793,335,2,545.48,3,Client at Risk
12794,53,2,860.41,2,loyal clients
12795,19,1,430.48,0,Occasionnal client
12797,366,1,254.03,3,Client at Risk
12798,10,3,6977.04,1,Champions
12802,187,1,427.58,3,Client at Risk
12808,37,3,483.65000000000003,0,Occasionnal client
12809,178,1,489.31,3,Client at Risk
12811,261,3,514.85,3,Client at Risk
12812,45,1,229.64000000000001,3,Client at Risk
12814,102,1,125.92,3,Client at Risk
12815,148,2,1063.46,2,loyal clients
12816,96,2,572.2,3,Client at Risk
12817,281,1,166.04,3,Client at Risk
12818,262,1,1542.08,3,Client at Risk
12820,3,4,942.34,0,Occasionnal client
12821,214,1,92.72,3,Client at Risk
12822,71,2,948.88,2,loyal clients
12823,75,5,1759.5,2,loyal clients
12824,60,1,397.12,3,Client at Risk
12826,3,7,1474.72,1,Champions
12827,6,3,430.15000000000003,0,Occasionnal client
12828,3,6,1018.71,1,Champions
12829,337,2,293.0,3,Client at Risk
12830,38,6,6814.64,2,loyal clients
12831,262,1,215.05,3,Client at Risk
12832,32,2,383.03,0,Occasionnal client
12833,145,1,417.38,3,Client at Risk
12834,283,1,312.38,3,Client at Risk
12836,59,4,2610.36,2,loyal clients
12837,173,1,134.1,3,Client at Risk
12838,34,2,671.95,0,Occasionnal client
12839,3,14,5591.42,1,Champions
12840,144,4,2726.77,2,loyal clients
12841,5,25,3991.58,1,Champions
12842,70,2,1118.99,2,loyal clients
12843,66,8,1702.26,2,loyal clients
12844,29,2,325.96000000000004,0,Occasionnal client
12845,267,4,354.09,3,Client at Risk
12847,22,1,843.64,0,Occasionnal client
12849,31,2,1010.29,2,loyal clients
12851,97,1,131.81,3,Client at Risk
12852,295,1,311.55,3,Client at Risk
12853,135,6,1957.1000000000001,2,loyal clients
12854,79,3,1316.25,2,loyal clients
12855,373,1,38.1,3,Client at Risk
12856,8,6,2170.78,1,Champions
12857,211,2,1106.4,3,Client at Risk
12863,52,1,521.2,3,Client at Risk
12864,138,1,147.12,3,Client at Risk
12865,26,2,1568.23,2,loyal clients
12866,283,1,559.12,3,Client at Risk
12867,26,7,4009.34,1,Champions
12868,186,6,1607.0600000000002,2,loyal clients
12871,84,2,380.64,3,Client at Risk
12872,327,2,599.97,3,Client at Risk
12873,282,1,374.0,3,Client at Risk
12875,143,2,343.2300000000001,3,Client at Risk
12876,58,2,2218.02,2,loyal clients
12877,4,12,1535.77,1,Champions
12878,236,2,854.99,3,Client at Risk
12879,45,3,573.22,2,loyal clients
12881,276,1,298.0,3,Client at Risk
12882,9,2,1463.04,0,Occasionnal client
12883,25,4,703.47,2,loyal clients
12884,88,1,309.05,3,Client at Risk
12885,63,3,1175.22,2,loyal clients
12886,68,2,1378.4,2,loyal clients
12888,214,2,354.12,3,Client at Risk
12890,24,1,376.71999999999997,0,Occasionnal client
12891,186,3,331.0,3,Client at Risk
12893,31,1,176.55,0,Occasionnal client
12895,42,2,372.8,0,Occasionnal client
12897,205,2,216.5,3,Client at Risk
12901,9,28,17654.54,1,Champions
12902,265,1,138.68,3,Client at Risk
12904,18,2,496.06,0,Occasionnal client
12906,12,5,2919.81,1,Champions
12908,176,2,750.0,3,Client at Risk
12909,40,5,2178.67,2,loyal clients
12910,23,8,3075.04,1,Champions
12912,3,5,1662.3,1,Champions
12913,5,5,2483.63,1,Champions
12915,149,2,363.65,3,Client at Risk
12916,139,4,2944.95,2,loyal clients
12917,128,1,594.0,3,Client at Risk
12919,8,6,1335.19,1,Champions
12920,17,1,162.78,0,Occasionnal client
12921,9,37,16587.09,1,Champions
12922,161,1,405.38,3,Client at Risk
12923,64,1,172.82,3,Client at Risk
12924,88,4,933.7,2,loyal clients
12925,5,2,694.05,0,Occasionnal client
12928,35,5,2062.7000000000003,2,loyal clients
12929,312,1,117.85,3,Client at Risk
12930,78,2,415.8,3,Client at Risk
12931,22,15,42055.96,1,Champions
12933,24,3,607.53,0,Occasionnal client
12935,2,7,2160.7,1,Champions
12936,17,4,1063.9,2,loyal clients
12937,15,4,1504.27,2,loyal clients
12938,26,1,114.14,0,Occasionnal client
12939,64,8,11581.8,1,Champions
12940,55,2,899.69,2,loyal clients
12942,131,3,675.6,2,loyal clients
12944,36,2,604.51,0,Occasionnal client
12945,288,1,462.95,3,Client at Risk
12947,144,6,1603.99,2,loyal clients
12948,16,7,2064.95,1,Champions
12949,31,8,4167.22,1,Champions
12950,2,3,1843.0,0,Occasionnal client
12951,9,6,1064.07,2,loyal clients
12952,6,4,1387.79,0,Occasionnal client
12953,10,1,329.85,0,Occasionnal client
12955,1,11,4757.16,1,Champions
12956,306,1,108.07,3,Client at Risk
12957,10,8,4017.54,1,Champions
12962,7,2,266.39,0,Occasionnal client
12963,8,8,1856.63,1,Champions
12965,89,1,769.8100000000001,3,Client at Risk
12966,10,1,160.18,0,Occasionnal client
12967,358,2,1660.9,3,Client at Risk
12968,112,1,135.95,3,Client at Risk
12970,7,4,405.47,0,Occasionnal client
12971,4,86,11189.91,1,Champions
12974,198,1,144.8,3,Client at Risk
12976,212,1,738.6,3,Client at Risk
12977,156,1,39.239999999999995,3,Client at Risk
12980,158,9,7374.900000000001,2,loyal clients
12981,30,2,372.21999999999997,0,Occasionnal client
12982,243,1,390.54,3,Client at Risk
12984,19,1,97.5,0,Occasionnal client
12985,1,2,1239.38,0,Occasionnal client
12987,74,2,558.7,3,Client at Risk
12988,292,1,505.82,3,Client at Risk
12989,3,15,6924.110000000001,1,Champions
12990,31,3,409.5,0,Occasionnal client
12991,23,2,503.76,0,Occasionnal client
12993,23,4,414.76,0,Occasionnal client
12994,4,3,974.4200000000001,0,Occasionnal client
12995,85,1,211.32,3,Client at Risk
12997,22,4,1226.89,2,loyal clients
12999,196,3,455.88,3,Client at Risk
13000,107,3,534.85,2,loyal clients
13001,4,13,9785.970000000001,1,Champions
13002,318,1,120.94999999999999,3,Client at Risk
13003,106,3,149.05,3,Client at Risk
13004,12,18,5655.91,1,Champions
13005,174,2,513.7,3,Client at Risk
13006,56,1,81.57,3,Client at Risk
13008,323,1,229.46999999999997,3,Client at Risk
13011,372,1,50.550000000000004,3,Client at Risk
13012,9,8,1646.8400000000001,1,Champions
13013,1,13,4810.9400000000005,1,Champions
13014,11,10,3466.2799999999997,1,Champions
13015,53,5,3339.64,2,loyal clients
13016,73,3,789.89,2,loyal clients
13017,7,1,204.0,0,Occasionnal client
13018,16,28,7277.7,1,Champions
13021,4,9,2616.38,1,Champions
13023,64,2,689.9,2,loyal clients
13026,1,5,975.36,1,Champions
13027,114,6,6912.0,2,loyal clients
13028,23,2,661.3199999999999,0,Occasionnal client
13029,31,3,1247.5,2,loyal clients
13030,11,2,752.4399999999999,0,Occasionnal client
13032,52,2,1010.18,2,loyal clients
13033,357,1,190.55,3,Client at Risk
13034,55,2,642.77,2,loyal clients
13035,74,2,921.88,2,loyal clients
13037,138,3,881.07,2,loyal clients
13038,80,3,908.46,2,loyal clients
13040,9,2,676.99,0,Occasionnal client
13043,273,1,516.42,3,Client at Risk
13044,291,1,560.47,3,Client at Risk
13045,99,1,305.28000000000003,3,Client at Risk
13046,31,2,629.31,0,Occasionnal client
13047,32,10,3237.54,1,Champions
13048,14,4,1819.41,2,loyal clients
13049,64,2,656.6800000000001,2,loyal clients
13050,15,17,5836.86,1,Champions
13052,212,1,348.15000000000003,3,Client at Risk
13055,78,3,1214.41,2,loyal clients
13058,25,3,271.40000000000003,0,Occasionnal client
13059,250,1,183.4,3,Client at Risk
13060,254,1,307.53,3,Client at Risk
13061,72,1,248.61,3,Client at Risk
13062,191,1,346.98,3,Client at Risk
13064,13,4,1105.59,2,loyal clients
13065,373,1,205.86,3,Client at Risk
13066,24,2,470.8,0,Occasionnal client
13067,82,1,115.46000000000001,3,Client at Risk
13068,10,2,344.0,0,Occasionnal client
13069,1,24,4431.44,1,Champions
13070,192,1,228.8,3,Client at Risk
13072,267,1,177.15,3,Client at Risk
13075,130,1,919.61,3,Client at Risk
13077,1,4,728.02,0,Occasionnal client
13078,3,26,12627.94,1,Champions
13079,4,5,220.10000000000002,0,Occasionnal client
13080,179,1,58.08,3,Client at Risk
13081,12,11,28337.38,1,Champions
13082,126,9,3613.63,2,loyal clients
13083,4,2,303.75,0,Occasionnal client
13085,158,2,416.08000000000004,3,Client at Risk
13089,3,97,58762.08,1,Champions
13090,9,14,8910.82,1,Champions
13091,28,1,345.82,0,Occasionnal client
13092,71,5,477.83,2,loyal clients
13093,276,8,7832.47,2,loyal clients
13094,21,12,1927.3200000000002,1,Champions
13095,71,1,74.39999999999999,3,Client at Risk
13097,33,10,6003.22,1,Champions
13098,1,28,28882.44,1,Champions
13099,99,1,207.35999999999999,3,Client at Risk
13101,234,1,101.19,3,Client at Risk
13102,1,24,6424.09,1,Champions
13103,40,1,243.94,0,Occasionnal client
13104,3,6,1098.48,1,Champions
13106,133,1,76.5,3,Client at Risk
13107,44,4,1531.6200000000001,2,loyal clients
13108,373,1,350.06,3,Client at Risk
13109,60,2,786.54,2,loyal clients
13110,31,7,1488.67,2,loyal clients
13113,1,24,12245.960000000001,1,Champions
13115,12,4,2294.78,2,loyal clients
13116,138,1,501.14,3,Client at Risk
13117,22,8,984.91,2,loyal clients
13118,20,5,1197.81,2,loyal clients
13120,239,1,30.599999999999998,3,Client at Risk
13121,269,1,283.73,3,Client at Risk
13122,94,2,922.39,2,loyal clients
13124,90,3,3756.33,2,loyal clients
13126,5,8,2099.64,1,Champions
13127,78,1,259.17,3,Client at Risk
13130,94,1,64.0,3,Client at Risk
13131,23,3,1073.3,2,loyal clients
13132,262,1,77.3,3,Client at Risk
13133,274,2,109.8,3,Client at Risk
13134,86,4,1793.58,2,loyal clients
13135,197,1,3096.0,2,loyal clients
13136,56,5,2607.61,2,loyal clients
13137,11,8,3603.29,1,Champions
13138,22,6,962.39,2,loyal clients
13139,16,7,5064.94,1,Champions
13140,108,3,422.47,3,Client at Risk
13141,85,5,2388.75,2,loyal clients
13142,19,1,307.09,0,Occasionnal client
13144,333,1,110.95,3,Client at Risk
13145,40,4,618.52,2,loyal clients
13146,26,1,228.91,0,Occasionnal client
13147,10,4,712.8000000000001,0,Occasionnal client
13148,29,12,3683.26,1,Champions
13149,14,4,1676.06,2,loyal clients
13151,296,1,1257.8700000000001,3,Client at Risk
13153,6,1,486.22,0,Occasionnal client
13155,33,4,971.76,2,loyal clients
13157,49,4,1741.22,2,loyal clients
13158,95,4,1201.06,2,loyal clients
13159,9,4,1429.35,2,loyal clients
13160,22,1,91.8,0,Occasionnal client
13161,313,1,112.75,3,Client at Risk
13162,122,4,1688.29,2,loyal clients
13165,46,2,1021.48,2,loyal clients
13166,283,1,417.2,3,Client at Risk
13167,19,4,791.33,2,loyal clients
13168,36,4,1299.59,2,loyal clients
13169,64,2,712.88,2,loyal clients
13170,27,1,108.81,0,Occasionnal client
13171,22,3,468.41,0,Occasionnal client
13173,4,2,353.65,0,Occasionnal client
13174,16,3,2742.82,2,loyal clients
13176,46,1,481.49,0,Occasionnal client
13177,65,1,282.45,3,Client at Risk
13178,26,11,5725.47,1,Champions
13182,45,1,121.18,3,Client at Risk
13183,8,9,3957.78,1,Champions
13184,15,10,1668.95,1,Champions
13185,268,1,71.4,3,Client at Risk
13186,40,3,1575.89,2,loyal clients
13187,337,1,236.02,3,Client at Risk
13188,11,1,114.60000000000001,0,Occasionnal client
13189,19,2,260.68,0,Occasionnal client
13192,95,2,911.94,2,loyal clients
13193,61,1,112.08,3,Client at Risk
13194,136,1,60.7,3,Client at Risk
13196,11,4,1797.78,2,loyal clients
13198,10,6,3401.2400000000002,1,Champions
13199,4,38,9817.12,1,Champions
13200,19,4,870.09,2,loyal clients
13203,10,4,869.46,0,Occasionnal client
13207,15,2,250.26000000000002,0,Occasionnal client
13208,59,6,1217.65,2,loyal clients
13209,30,8,5891.61,1,Champions
13210,94,1,353.48,3,Client at Risk
13211,10,3,1095.42,0,Occasionnal client
13212,20,3,786.83,0,Occasionnal client
13213,57,5,1520.58,2,loyal clients
13216,268,1,333.74,3,Client at Risk
13217,122,3,533.98,3,Client at Risk
13218,127,1,62.63999999999999,3,Client at Risk
13220,78,4,819.2900000000001,2,loyal clients
13221,240,2,847.41,3,Client at Risk
13223,200,2,163.20000000000002,3,Client at Risk
13224,60,2,2155.95,2,loyal clients
13225,3,7,6463.84,1,Champions
13226,273,1,108.21000000000001,3,Client at Risk
13227,202,1,257.7,3,Client at Risk
13228,81,1,358.0,3,Client at Risk
13229,226,1,160.95,3,Client at Risk
13230,4,14,2755.63,1,Champions
13232,13,7,1328.35,1,Champions
13233,74,2,605.12,3,Client at Risk
13235,212,1,1031.07,3,Client at Risk
13236,25,2,744.85,0,Occasionnal client
13238,17,4,700.73,0,Occasionnal client
13239,262,1,329.56,3,Client at Risk
13240,96,4,663.65,2,loyal clients
13242,112,3,270.40000000000003,3,Client at Risk
13243,203,1,585.12,3,Client at Risk
13244,93,1,121.74000000000001,3,Client at Risk
13245,51,1,430.5,3,Client at Risk
13246,18,6,1961.52,2,loyal clients
13247,18,4,501.12,0,Occasionnal client
13248,125,2,465.68,3,Client at Risk
13249,92,3,711.41,2,loyal clients
13253,157,2,1030.4,2,loyal clients
13255,9,2,399.51,0,Occasionnal client
13258,12,3,672.83,0,Occasionnal client
